Processed,Name,Components,Recommendations,Problem or Purpose,My Comments,Theoretical/Conceptual,Sample,Methods,Key Findings,github,Cover,Related References,URL,Zotero URI,DOI,Edited
Yes,HOTA,"classify, track","• Use HOTA to evaluate 3D MOT outputs
• Adopt Multi-Camera HOTA for overlapping RGB cameras
• Report DetA, AssA, AssRe/Pr, LocA for diagnostics
• Use OHOTA for online tracking evaluation
• Use CA-HOTA for class-aware flying object results
• Consider FA-HOTA if fragmentation impacts safety","• Unified MOT metric balancing detection, association, localization
• Addresses MOTA bias toward detection
• Addresses IDF1 non-monotonic detection behavior
• Provide decomposable submetrics for error analysis
• Align metric with human visual judgment","• Strong fit for evaluating 3D multi-view tracking quality
• Not a method for detection/fusion itself
• Supports 3D boxes and multi-camera IDs
• Useful for tuning association versus detection balance
• Default HOTA ignores fragmentation; FA-HOTA mitigates
• Online scenarios prefer OHOTA variant","• Double Jaccard formulation for scoring
• HOTA equals sqrt(DetA × AssA)
• Defines TPA, FNA, FPA association sets
• Integrates over localization thresholds for LocA
• Bijective detection-level matching via Hungarian
• Monotonicity and metric properties analyzed","• MOT17 pedestrian tracking benchmark evaluated
• 37 published trackers compared on MOT17
• 36 six-second clips for user study
• Single-camera sequences; multi-camera extension discussed
• 2D boxes; 3D generalization described conceptually
• Open benchmark; public detections used","• Detection-level bijective matching each frame
• Score matches to maximize HOTA
• Association via TPA/FPA/FNA per TP
• Integrate scores over IoU thresholds
• Submetrics: DetA, AssA, DetRe/Pr, AssRe/Pr, LocA
• Extensions: OHOTA, FA-HOTA, W/CA/Fed/CR-HOTA","• Balanced detection-association measurement achieved
• Higher correlation with human judgments than MOTA/IDF1
• HOTA correlates strongly with AssA, moderately with DetA
• Independent of frame rate variations
• Decomposable submetrics enable targeted analysis
• Ranks trackers differently from MOTA/IDF1 appropriately",https://github.com/JonathonLuiten/HOTA-metrics,,,http://arxiv.org/abs/2009.07736,https://zotero.org/alehanderoo/items/SGU78X79,https://doi.org/10.1007/s11263-020-01375-2,09/10/2025 19:26 (GMT+2)
Yes,Rethinking RAFT for Efficient Optical Flow,2D features,"• Use Ef-RAFT for per-camera temporal features.
• Derive motion masks to separate dynamic/static.
• Test on aerial flying targets, fast motions.
• Compare RAFT versus Ef-RAFT on videos.
• Integrate flows to aid 4DGS object segmentation.
• Beware 2D-only; enforce multi-view temporal consistency.","• Improve RAFT on large displacements, repetitive patterns.
• Reduce runtime and GPU memory overheads.
• Maintain accuracy with efficient modifications.
• Introduce ALO and AFL modules.
• Validate on Sintel and KITTI datasets.","• Strong 2D flow module; no 3D fusion.
• Helpful for dynamic/static separation pre-4DGS.
• No multi-camera overlap or self-calibration.
• Likely robust to repetitive skies and clouds.
• Need evaluation on flying objects and occlusions.
• Consider flow-guided multi-view consistency losses.","• RAFT iterative refinement with correlation volumes.
• ALO scales/translates lookup grids adaptively.
• AFL adds global features via attention.
• Relative positional encoding for delta estimates.
• Multi-step L1 loss with gamma=0.8.","• FlyingChairs, FlyingThings for pretraining.
• Sintel train split evaluated.
• KITTI-15 train split evaluated.
• Single-camera frame pairs; no multi-view overlap.
• Annotations: dense optical flow ground truth.
• Code available; datasets standard licenses.","• RAFT backbone with feature and context encoders.
• ALO modifies correlation lookup radius adaptively.
• AFL applies row/column multi-head attention.
• Pose estimation: none; calibration-free not addressed.
• Training: AdamW, one-cycle; gradient clipping ±1.
• Compute: single RTX 3090; PyTorch implementation.","• Sintel EPE improved ~10% over RAFT.
• KITTI F1-All improved nearly 6%.
• Runtime overhead approximately 33% vs RAFT.
• Memory usage increased about 13%.
• Ablations show ALO and AFL contributions.",https://github.com/n3slami/Ef-RAFT,,,http://arxiv.org/abs/2401.00833,https://zotero.org/alehanderoo/items/WVMLNQWJ,https://doi.org/10.48550/arXiv.2401.00833,09/10/2025 19:17 (GMT+2)
Yes,RAFT,2D features,"• Use RAFT for per-camera optical flow features.
• Leverage flow to separate static and dynamic.
• Warm-start across frames for stable motion cues.
• Feed correlation features to 3DGS module.
• Risk: single-view only; no multi-camera constraints.
• Quick-win: pretrain RAFT; evaluate on flying objects.","• Achieve SOTA dense optical flow accuracy.
• Handle fast motion, occlusion, blur, low texture.
• Avoid coarse-to-fine cascades' error propagation.
• Improve training efficiency and generalization.","• Good fit for temporal 2D motion features.
• Mismatch: no pose, 3D fusion, or tracking.
• Helps dynamic object segmentation before 4DGS.
• Likely robust for small, fast flying objects.
• Need multi-view flow consistency across cameras.
• Test on aerial scenes, sky backgrounds, occlusions.","• All-pairs 4D correlation over learned per-pixel features.
• Multi-scale correlation pyramid captures large displacements.
• Recurrent ConvGRU updates mimic optimization steps.
• Sequence loss with exponential weighting (gamma=0.8).
• Learned convex upsampling preserves motion boundaries.","• Datasets: Sintel, KITTI-2015, HD1K, DAVIS.
• #frames: pairs; videos for warm-start.
• #cameras: single; no overlap.
• Annotations: dense flow ground truth.
• 3D motion present implicitly; 2D labels.
• Availability: public datasets; open-source code.","• Pipeline: features → 4D correlation → ConvGRU updates.
• Pose strategy: N/A.
• 2D backbone: CNN residual encoder; no external flow.
• 3D fusion method: N/A.
• Heads: no classify/track; outputs dense flow.
• Training: L1 sequence loss, AdamW, gradient clipping.","• Sintel final EPE 2.855; 30% improvement.
• KITTI F1-all 5.10%; 16% reduction.
• Cross-dataset EPE 5.04 on KITTI.
• 10 FPS at 1088×436; 5.3M parameters.
• Small model 20 FPS; still SOTA.
• Ablations support GRU, pooling, all-pairs choices.",https://github.com/princeton-vl/RAFT,,,http://arxiv.org/abs/2003.12039,https://zotero.org/alehanderoo/items/JJBIE58K,https://doi.org/10.48550/arXiv.2003.12039,09/10/2025 19:14 (GMT+2)
Yes,CaMuViD,"2D features, 3D-fusion, classify, pose","• Reuse calibration-free multi-view fusion for RGB-only cameras.
• Replace BEV/3D projection with learned feature-space mappings.
• Add temporal modules, optical flow, for motion cues.
• Extend to 3D occupancy via 4DGS volume heads.
• Integrate multi-class heads for flying object categories.
• Validate on flying, overlapped multi-camera datasets.","• Occlusion-robust multi-view pedestrian detection without calibration.
• Avoid BEV projection distortions and overfitting.
• Detect directly in image space across cameras.
• Generalize across camera layouts and scenes.
• Reduce reliance on ground-truth annotations.","• Strong fit for calibration-free, overlapping multi-view fusion.
• Mismatch: no 3D occupancy or tracking outputs.
• Not tailored for flying, non-grounded objects.
• Learned feature projections inspire 3DGS feature alignment.
• Need temporal consistency, cross-view ID association modules.
• Investigate explainability, inverse consistency stability.","• Calibration-free feature projection and back-projection matrices.
• Common representation space derived from per-view features.
• Concatenation fusion plus 1x1 conv channel reduction.
• Inverse-consistency enforced: A_b approximates A_p inverse.
• Multi-view projection loss L_vp; standard detection losses.","• Domain: pedestrian multi-view surveillance scenes.
• Wildtrack: 7 cameras, 3.74-view average overlap.
• MultiviewX: 6 cameras, 4.41-view average overlap.
• Annotations: 2D boxes, ground-plane IDs, grid occupancy.
• 3D motion present across synchronized frame sequences.
• Public datasets, open access licenses.","• InternImage-t backbone; Cascaded R-CNN detection head.
• FCNs predict per-view A_p, A_b from features.
• Concatenate projected features; 1x1 conv for fusion.
• Calibration-free; no homographies or extrinsics required.
• Training: 20 epochs, lr 1e-4, 640×1338 inputs.
• Losses: bbox/classification + L_vp (weight 1e-4).","• MODA: 95.0 Wildtrack; 96.5 MultiviewX; SOTA.
• Best recall and F1 across both datasets.
• Cross-dataset MODA 86.4, surpassing prior methods.
• Concatenation+FRM outperforms summation fusion.
• Geometry-based projection replacement drops MODA by 9.1%.",https://github.com/amiretefaghi/CaMuViD,,,https://ieeexplore.ieee.org/document/11094313/,https://zotero.org/alehanderoo/items/KCKLXGN4,https://doi.org/10.1109/CVPR52734.2025.00122,09/10/2025 19:12 (GMT+2)
Yes,Enhancing Multi-view Pedestrian Detection Through Generalized 3D Feature Pulling,"2D features, 3D features, 3D-fusion, pose","• Reuse 3D feature pulling for volumetric fusion.
• Adopt maximal fusion for multi-view robustness.
• Extend Z dimension for aerial object volumes.
• Integrate optical flow for temporal feature lifting.
• Add self-calibration module; remove reliance on extrinsics.
• Use 4DGS to replace BEV collapse.","• Robust multi-view pedestrian detection across diverse scenes.
• Mitigate IPM feature loss and distortion.
• Unify view-specific features in 3D space.
• Improve generalization across camera setups.","• Strong match on multi-camera overlap and 3D fusion.
• Mismatch: assumes ground-plane occupancy, not flying.
• Requires calibrations; no self-calibration strategy.
• No classification or 3D tracking outputs.
• Design insight: parameter-free pulling reduces overfitting.
• Open: extend to dynamic 4D volumes with tracking.","• Param-free 3D feature pulling via projection.
• Uses known intrinsics and extrinsics matrices.
• Bilinear sampling for sub-pixel feature retrieval.
• Max-pooling fusion across views for robustness.
• MSE loss on ground-plane occupancy maps.
• 3D CoordConv encodes positional information.","• WildTrack: 7 cameras, 400 frames, real.
• MultiviewX: 6 cameras, 400 frames, synthetic.
• GMVD: 3–8 cameras, multiple scenes, synthetic.
• Annotations: BEV occupancy maps, pedestrian locations.
• Overlapping views; average 3.74 cameras per person.
• Availability/license: N/A.","• Dilated ResNet-18 extracts multi-view 2D features.
• Foreground selector channel-attention filters semantics.
• 3D feature pulling with frustum mask.
• Maximal fusion via voxel-wise max-pooling.
• Large-kernel refiner with depthwise separable convolutions.
• Adam, cosine schedule; voxel 10×10×20 cm; MSE.","• SOTA MODA on WildTrack: 94.1.
• SOTA MODA on MultiviewX: 95.7.
• Higher recall than baselines across datasets.
• Generalization: 82.6 MODA, 93.4 recall (7 cams).
• GMVD generalization: 73.3 MODA, outperforming GMVD baseline.
• Trainable on >15GB GPU; efficient parameterization.",,,,https://ieeexplore.ieee.org/document/10483981/,https://zotero.org/alehanderoo/items/MRCCLTHJ,https://doi.org/10.1109/WACV57701.2024.00123,09/10/2025 19:09 (GMT+2)
Yes,Game Engine Based Multi-View Video Dataset Synthesis for Pedestrian Detection and Tracking (2024),"2D features, 3D-fusion, pose, track","• Use as data engine for multi-view flying objects.
• Add sky scenes and aerial trajectories in Unity.
• Extend POM to volumetric 3D occupancy grids.
• Integrate 2D optical flow for temporal cues.
• Export extrinsics for self-cal baseline evaluation.
• Beware ground-plane assumptions; adapt to 3D flight.","• Lack of large multi-view training data.
• Privacy/ethics hinder real data collection.
• Provide modular synthetic dataset pipeline.
• Support overlapping multi-camera configurations.
• Output WILDTRACK-format images and annotations.","• Strong fit for multi-camera overlap and tracking labels.
• Mismatch: ground-plane POM, not volumetric occupancy.
• No Gaussian Splatting or 3DGS/4DGS integration.
• Useful for pose-controlled synthetic calibration tests.
• Needs flying object assets and motion models.
• Consider domain gap to aerial RGB imagery.","• Multi-view geometry and back-projection for POM.
• OpenCV-based intrinsic/extrinsic calibration usage.
• Right-hand/left-hand coordinate conversion.
• Unity HDRP, PBR, ray tracing rendering.
• No new losses; dataset synthesis only.","• Domain: synthetic pedestrians in urban scenes.
• Frames: configurable; example 12x200 per batch.
• Cameras: 4–12+, ellipse or manual placement.
• Overlap: multi-view FoV with shared AOI.
• Annotations: 2D boxes/masks, IDs, 3D positions, POM.
• 3D motion: wandering trajectories; code public, assets licensed.","• Unity3D synthesis with HDRP and randomization.
• Camera placement via ellipse/hand; aim target centered.
• Calibration metadata exported in datasetParameters.py.
• Synchronized export with publisher-subscriber cameras.
• MultiviewX Perception generates POM by back-projection.
• Ground truth IDs, 2D boxes/masks, 3D positions.","• 40–200 frames/minute depending on scene/camera count.
• Throughput decreases as camera number increases.
• Supports scalable multi-camera dataset generation.
• Claims robustness on novel environments.
• No accuracy metrics versus baselines reported.",https://github.com/TsingLoo/com.tsingloo.wildperception,,,https://ieeexplore.ieee.org/document/10740021/,https://zotero.org/alehanderoo/items/PQAUHNUI,https://doi.org/10.1109/MetaCom62920.2024.00049,09/10/2025 19:05 (GMT+2)
Yes,WILDTRACK,"2D features, 3D-fusion, pose, track","• Use dataset to develop multi-camera fusion module.
• Leverage BA procedure to validate self-calibration.
• Prototype ground-plane occupancy before full 3D volume.
• Adapt detection heads for flying-object classes.
• Test KSP association; extend to 3D trajectories.
• Risk: ground-plane constraint mismatches aerial targets.","• Lack of large-scale overlapping multi-camera pedestrian dataset.
• Improve detection under occlusions using multi-view geometry.
• Provide precise joint calibration and synchronization benchmarks.
• Benchmark multi-view detection and tracking methods.","• Strong multi-view overlap aligns with thesis sensors.
• No flying objects; motion limited to ground-plane.
• Calibration not calibration-free; could inspire initialization.
• Lacks 3D volume modeling or Gaussian Splatting.
• Useful for benchmarking fusion and tracking components.
• Open: dataset license, raw videos availability.","• Pinhole camera model with radial/tangential distortion.
• Joint bundle adjustment minimizing reprojection error (Eq.1).
• Probabilistic Occupancy Map with mean-field inference.
• CNN-CRF higher-order occlusion reasoning on ground plane.
• K-Shortest Paths tracking on occupancy graph.","• Public plaza pedestrians, dense crowds, unscripted.
• 7 static HD cameras, highly overlapping views.
• 1920x1080, 60fps; annotations at 2fps.
• 400 frames per view; 9518 multi-view annotations.
• 3D ground-plane locations and 2D boxes.
• Availability public; license N/A.","• Manual ground points, joint BA for intrinsics/extrinsics.
• Synchronized within ~50ms; strong multi-view overlap.
• Baselines: POM-CNN, DeepMCD, Deep-Occlusion, RCNN-projected.
• Backbones: GoogLeNet, ResNet-18, DenseNet-121.
• Top-view NMS; grid 60x180; r=0.5m.
• Tracking: KSP and ptrack post-processing.","• Multi-view beats monocular across metrics.
• Deep-Occlusion MODA 0.741, Precision 0.95, Recall 0.80.
• ResNet-DeepMCD MODA 0.678, MODP 0.642.
• Tracking IDF1 78.4 with ptrack.
• Multi-view training increases accuracy and confidence.
• Occlusion impact reduced via overlapping views.",,,,https://ieeexplore.ieee.org/document/8578626/,https://zotero.org/alehanderoo/items/66MBS7JP,https://doi.org/10.1109/CVPR.2018.00528,09/10/2025 19:03 (GMT+2)
Yes,Bringing Generalization to Deep Multi-View Pedestrian Detection,"2D features, 3D-fusion, pose","• Reuse permutation-invariant multi-view pooling module.
• Adopt DropView to handle missing/async cameras.
• Use KLCC loss for occupancy probability maps.
• Pretrain on GMVD for multi-view fusion robustness.
• Integrate with 4DGS as BEV fusion prior.
• Plan calibration-free pose; method assumes known extrinsics.","• Improve generalization in deep multi-view pedestrian detection.
• Handle varying number of cameras robustly.
• Handle changing camera positions and configurations.
• Generalize to unseen scenes without retraining.
• Address overfitting from homogeneous train-test splits.","• Strong multi-view fusion; lacks volumetric 3D occupancy.
• Assumes ground-plane; unsuitable for flying objects.
• No self-calibration; conflicts with calibration-free goal.
• No classification or 3D tracking heads.
• Design lesson: enforce permutation invariance across views.
• Need extension to 3D voxel features and dynamics.","• Assumes calibrated static cameras with overlapping FoV.
• Project 2D features to ground-plane via perspective transform.
• Permutation-invariant average pooling across views.
• DropView regularization randomly discards one view.
• KL-Divergence plus Cross-Correlation loss (KLCC).
• Occupancy map predicted by dilated convolutions.","• Domain: crowded pedestrian multi-view detection.
• GMVD: 53 sequences, 7 scenes, 4983/1012 frames.
• Cameras: 3–8 per scene, overlapping static layout.
• Annotations: BEV occupancy, plus GTAV track IDs.
• 3D motion: walking pedestrians; no flying objects.
• Availability: public GitHub; license unspecified.","• ResNet18 backbone with dilated convolutions.
• Calibrated poses; no self-calibration or flow.
• Perspective projection to BEV feature grid.
• Average-pool features across arbitrary views.
• Dilated-conv head outputs occupancy map.
• KLCC loss, DropView, ImageNet pretrain, NMS, 10 epochs.","• Competitive MODA on WildTrack and MultiViewX.
• Strong under camera dropout: MODA 77.0 vs 66.6.
• Robust to configuration changes; >20 MODA improvements.
• Scene generalization: 66.1–70.7 MODA MultiViewX→WildTrack.
• GMVD training transfers: 80.1 MODA on WildTrack.
• Slightly below MVDeTr/SHOT on in-scene tests.",https://github.com/jeetv/GMVD,,,http://arxiv.org/abs/2109.12227,https://zotero.org/alehanderoo/items/UJ3NC4ZU,https://doi.org/10.48550/arXiv.2109.12227,09/10/2025 19:01 (GMT+2)
Yes,MMPTRACK,"2D features, 3D features, 3D-fusion, classify, pose, track","• Reuse multi-view heatmap fusion for 3D occupancy cues
• Adapt Hungarian 3D association to flying targets
• Avoid ground-plane assumptions for aerial objects
• Leverage environment adaptation for multi-camera RGB
• Use dataset to test multi-view association modules
• Benchmark ReID robustness across overlapping views","• Lack of large multi-camera MOT datasets
• Need overlapped calibrated setups for occlusions
• Expensive manual multi-view annotations
• Provide auto-annotated dense 3D tracking labels
• Benchmark real-time multi-camera trackers
• Study domain adaptation for ReID","• Strong overlap, calibration align with multi-camera needs
• Ground-plane assumption mismatches flying objects
• No calibration-free self-calibration demonstrated
• No Gaussian Splatting or volumetric features
• Useful for association, fusion design insights
• Check data availability and calibration formats","• Top-down ground-plane occupancy mapping
• Tracking-by-detection with Hungarian assignment
• Multi-view heatmap fusion via homographies
• 3D pose fusion using VoxelPose
• Extrinsic optimization using ArUco graph
• Focal Loss for ground-point estimation","• Indoor retail, lobby, industry, cafe, office
• ~2.98M annotated frames total
• 23 calibrated RGBD cameras across five environments
• Highly overlapped views; fixed cameras
• 2D boxes+IDs; 3D top-down tracks
• Public release planned; license N/A","• RGBD auto-annotation with 3D tracker
• Calibrated extrinsics via ArUco bipartite optimization
• DMCT: CornerNet heatmaps; YOLOv5 top-down detector
• Heatmaps fused on ground-plane via homographies
• VoxelTrack: VoxelPose 3D skeleton tracking
• Hungarian association; ReID via FastReID","• DMCT-Ext-TD: 74.1 IDF1, 94.6 MOTA
• Deep top-down detector reduces IDs significantly
• External OpenImages pretraining gives limited gains
• Environment-specific training boosts IDF1 strongly
• VoxelTrack underperforms due to domain gap
• Auto-annotation achieves ~100% IDF1 on checks",,,,http://arxiv.org/abs/2111.15157,https://zotero.org/alehanderoo/items/UW7A8NYG,https://doi.org/10.48550/arXiv.2111.15157,09/10/2025 18:59 (GMT+2)
Yes,A unified multi-view multi-person tracking framework,"2D features, 3D-fusion, pose, track","• Reuse PDNC for cross-view association of aerial targets
• Adapt CMMT for robust temporal 3D triangulation
• Ensure overlapping calibrated cameras for full-volume coverage
• Augment with optical flow for temporal cues
• Swap detectors for flying-object categories
• Explore self-calibration to remove calibration dependency","• Unify footprint and pose 3D multi-view tracking
• Jointly exploit multi-view and multi-frame associations
• Overcome ground-plane homography limits for poses
• Improve robustness under occlusion and sparse cues","• Strong multi-view overlap assumption matches thesis setup
• Requires calibration; thesis seeks calibration-free poses
• No 3D occupancy or Gaussian Splatting components
• Ideas transfer to association and triangulation modules
• Sliding-window linkage beneficial for online robustness
• Needs adaptation for non-human, flying-object dynamics","• Normalized epipolar distance removes projection-scale bias
• PDNC: propagatable distance non-parametric clustering
• CMMT: multi-frame multi-view triangulation with clustering
• Sliding-window online processing with spatiotemporal constraints
• Linear assignment for cross-window tracklet linking","• Datasets: Campus, Shelf, WILDTRACK, MMPTRACK
• Cameras: 3, 5, 7, and 4–6 respectively
• Subjects: 3, 4, 313 footprints, 28 total
• Overlapping, synchronized, calibrated multi-camera views
• Annotations: 3D poses, footprints; CLEAR, PCP metrics
• Availability/license: N/A","• YOLOX detection; per-camera SORT builds 2D tracklets
• Compute normalized epipolar cross-view distances
• Associate tracklets using PDNC under constraints
• Triangulate via CMMT with interpolation and clustering
• Link 3D tracklets across windows by linear assignment
• Optional ReID appearance; calibrated intrinsics/extrinsics required","• SOTA PCP on Campus and Shelf datasets
• Competitive WILDTRACK MOTA, IDF1 versus baselines
• MMPTRACK: 95% MOTA, 84% IDF1 with PDNC+CMMT
• PDNC improves association robustness and MOTA significantly
• CMMT outperforms RANSAC for 3D PCP
• Real-time speeds; scales with cameras and people",,,,https://ieeexplore.ieee.org/document/10897678/,https://zotero.org/alehanderoo/items/CYYGKUBD,https://doi.org/10.1007/s41095-023-0334-8,09/10/2025 18:58 (GMT+2)
Yes,Learning from Synchronization,"2D features, track","• Reuse synchronization pretext for uncalibrated multi-view association.
• Adopt camera embeddings to bypass explicit extrinsics.
• Integrate edge association to reduce matching ambiguity.
• Combine with optical flow for moving flying objects.
• Use as cross-view module before 3DGS fusion.
• Ensure tight time sync; static cameras only.","• Robust cross-view person association without labels.
• Re-ID unreliable with similar appearances.
• Avoid using calibrated camera parameters.
• Learn geometry via synchronization supervision.
• Handle crowded, overlapping multi-view scenes.","• Strong fit for uncalibrated multi-camera overlap.
• Mismatch: no 3D volume or occupancy.
• No explicit extrinsics; potential pose cues.
• Not designed for flying, small objects.
• Could aid cross-view ID before 3D tracking.
• Lacks explainability; add Grad-CAM on encoder.","• Synchronized views share rigid layout distributions.
• Encode geometry using Fourier positional encodings.
• Learnable camera embeddings for view invariance.
• Hungarian matching bridges instance-image distances.
• Triplet loss on image pairs.
• Linear constraints: reprojection L1, edge triplet.","• WILDTRACK: 7 cams, crowded outdoors, public.
• MVOR: 3 cams, operating room, public.
• SOLDIERS: 6 cams, indoor atrium, public.
• Uses detector pseudo boxes for training.
• Overlapping synchronized views; identity labels for eval.
• 3D motion present; license N/A.","• Detect persons per view with off-the-shelf detector.
• Fourier positional encodings for box geometry.
• Learnable camera embeddings for view invariance.
• Synchronization triplet loss with Hungarian association.
• Linear constraints: L1 reprojection, edge association.
• Adam optimizer, lr 1e-4→1e-5, A40 GPU.","• SOTA unsupervised on three multi-view benchmarks.
• WILDTRACK IPAA-100 54.64, surpasses ViT-P3DE.
• Precision 92.31, recall 94.34 on WILDTRACK.
• MVOR ACC 89.38, comparable to supervised.
• SOLDIERS ACC 95.89, large gains.
• Runtime/memory N/A.",https://github.com/CAMMA-public/Self-MVA,,,https://ieeexplore.ieee.org/document/11094625/,https://zotero.org/alehanderoo/items/2INXNLH6,https://doi.org/10.1109/CVPR52734.2025.02274,09/10/2025 18:53 (GMT+2)
Yes,Depth Anything at Any Condition,"2D features, 3D features","• Use as per-view depth prior for 3D fusion.
• Apply SDR to sharpen boundaries for 2D segmentation.
• Fine-tune on your camera perturbations with consistency.
• Beware monocular scale ambiguity across multi-cameras.
• Calibrate cross-view scales before 4DGS fusion.
• Quick test: integrate AC depth for dynamic/static separation.","• Robust MDE under adverse weather and lighting.
• Address data scarcity for corrupted conditions.
• Avoid poor pseudo-labels from corrupted images.
• Maintain generalization on standard benchmarks.
• Enhance boundaries via spatial distance constraints.","• No multi-view, overlap, or pose estimation.
• Useful robustness for outdoor flying conditions.
• Not providing classification or tracking modules.
• Depth could aid 3DGS initialization and masking.
• Consider temporal consistency extensions for videos.
• Verify performance on aerial, sky-dominant scenes.","• Perturbation-based consistency regularization between predictions.
• Affine-invariant disparity loss for scale robustness.
• Knowledge distillation with frozen teacher guidance.
• Spatial Distance Relation combining position and disparity.
• Spatial Distance Constraint loss aligns inter-patch geometry.
• Total loss weighted: Lc, Lkd, Ls.","• Domains: indoor and outdoor general scenes.
• 540K unlabeled images for fine-tuning.
• Single monocular camera per image; no overlap.
• Annotations: none; self-supervised consistency.
• 3D motion presence: N/A.
• Code and project page available, license unspecified.","• Fine-tune DepthAnythingV2 with perturbation consistency.
• Frozen teacher guides normal-branch predictions.
• Backbone ViT-S, DPT decoder; no optical flow.
• Spatial Distance Relation computed on patches.
• Losses: Lc, Lkd, Ls; equal weights.
• Training: AdamW, LR 5e-6, 20 epochs, 4x3090.","• Best DA-2K blur accuracy: 0.880 vs 0.862.
• Improved RobotCar-night δ1: +0.037 over V2.
• Strong on NuScenes-night AbsRel: 0.198.
• Comparable performance on general benchmarks.
• Perturbations and SDR both improve robustness.
• Runtime and memory: N/A.",https://github.com/HVision-NKU/DepthAnythingAC,,,http://arxiv.org/abs/2507.01634,https://zotero.org/alehanderoo/items/2RI9XH6B,https://doi.org/10.48550/arXiv.2507.01634,09/10/2025 18:50 (GMT+2)
Yes,Metric3Dv2,"2D features, 3D features, 3D-fusion","• Use CSTM to normalize varying intrinsics.
• Adopt model for per-frame metric depth priors.
• Derive normals to sharpen 2D segmentation edges.
• Self-train normals via depth-normal consistency.
• Fuse multi-view depths for static scene 3DGS initialization.
• Validate on drone, fisheye, outdoor scenes.","• Zero-shot monocular metric depth estimation.
• Zero-shot surface normal estimation from single image.
• Resolve metric ambiguity across camera intrinsics.
• Scale training to diverse camera models.
• Enable downstream SLAM, reconstruction, metrology.","• Strong 3D feature backbone for single-view geometry.
• No multi-camera overlap exploitation.
• No dynamic object separation or tracking.
• Helps pose-free scale via intrinsics normalization.
• Useful priors for 4DGS, classification, tracking.
• Need temporal consistency for flying objects.","• Canonical camera space transformation (CSTM) proposed.
• Focal length critical for metric recovery.
• Joint depth-normal recurrent optimization (ConvGRU).
• Random proposal normalization loss (RPNL).
• Depth-normal consistency self-supervision loss.
• Scale-invariant log, PWN, VNL losses used.","• 16+ public RGB-D datasets, indoor/outdoor.
• Over 16M training images total.
• Single-view training; some multi-camera datasets.
• Camera intrinsics provided; varied camera models.
• Labels: metric depth, normals, pseudo normals.
• 3D motion present in driving datasets.","• Single-image input; predict metric depth and normals.
• CSTM on images or labels using intrinsics.
• Backbones: ConvNeXt-L, DINOv2 ViTs with DPT.
• Recurrent ConvGRU refines depth/normal jointly.
• No optical flow; no extrinsics estimation.
• Losses: silog, PWN, VNL, RPNL; 48 A100, 800k.","• SoTA on 16 depth/normal benchmarks.
• NYUv2 FT AbsRel 0.047; KITTI FT 0.039.
• Zero-shot δ1 up to 0.980 on NYU.
• Reduces mono-SLAM drift significantly.
• Robust across thousands of camera models.
• ViT-L runs ~9.5 fps; memory ~7GB.",,,,http://arxiv.org/abs/2404.15506,https://zotero.org/alehanderoo/items/3JU2M5JR,https://doi.org/10.1109/TPAMI.2024.3444912,09/10/2025 18:47 (GMT+2)
Yes,One-Shot Multiple Object Tracking in UAV Videos Using Task-Specific Fine-Grained Features,"2D features, classify, track","• Use FDN for decoupled 2D features per camera
• Use PTE for small flying-object features
• Employ embeddings for cross-view association seeding
• Integrate as 2D front-end before 3D fusion
• Risk: single-view assumptions; no pose or 3D cues
• Quick-win: benchmark on drone flying-object subsets","• Robust MOT in UAV videos
• One-shot MOT suffers detection-ReID conflict
• Small targets hinder accurate localization
• Improve speed without sacrificing accuracy","• Strong 2D MOT; no multi-camera overlap support
• Not addressing pose, 3D occupancy, or splatting
• Useful for per-view appearance features
• Decoupling idea transferable to multi-task setups
• Need class extension to drones, birds, aircraft
• Verify robustness on fast, small aerial targets","• One-shot MOT with shared backbone
• Feature decoupling via self/cross-attention
• Transformer encoder with multi-scale dilation
• Losses: BCE cls, GIoU reg, ID CE
• Uncertainty weighting balances tasks
• Kalman-Hungarian association framework","• UAV aerial videos (VisDrone2021, UAVDT)
• VisDrone: 56 train, 7 val, 33 test
• UAVDT: 100 videos, ~80k images
• Single moving camera; no multi-view overlap
• Annotations: 2D boxes with IDs
• 2D tracks; no 3D annotations","• YOLOv5L backbone; shared features extracted
• FDN splits detection/ReID features
• PTE learns scale-aware fine-grained features
• ReID and detection heads predict outputs
• Association: cosine, Kalman, Hungarian, IOU second pass
• Training: 30 epochs, SGD, augmentations; BCE, GIoU, ID","• SOTA MOTA: 34.3 (VisDrone), 48.6 (UAVDT)
• SOTA IDF1: 45.0 and 66.2 respectively
• Outperforms FairMOT on both benchmarks
• Ablations: FDN/PTE significantly improve metrics
• Runtime 17.6 FPS; 69.3M params; 73.6G MACs
• Reduced IDS and Frag vs baselines",,,,https://www.mdpi.com/2072-4292/14/16/3853,https://zotero.org/alehanderoo/items/5R77ZITF,https://doi.org/10.3390/rs14163853,09/10/2025 18:43 (GMT+2)
